pathway,status,n_genes,excluded_genes,description,SS,percent_SS,n_valid_snps,mean_percent_SS,null_mean,null_sd,fold_enrichment,p_value,n_samples,n_unique_null_sets,additive_sum,additive_sum_null_mean,additive_sum_null_sd,additive_sum_p_value,additive_mean,additive_mean_null_mean,additive_mean_null_sd,additive_mean_p_value,q_value_bh,additive_sum_q_value_bh,additive_mean_q_value_bh
PWY-781,tested,5,[],sulfate assimilation pathway,6.28110664591526e-16,2.0131595669892203e-05,14,1.0271222280557247e-07,6.101129085282666e-16,1.339317378891067e-16,1.0294990579803895,0.6666666666666666,2,2,0.0003201315027645836,8.392876234261109e-05,3.555489576668174e-05,0.3333333333333333,2.286653591175597e-05,5.994911595900792e-06,2.5396354119058387e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-48,tested,3,[],glycerol biosynthesis,1.5242964043794013e-16,4.885527443478884e-06,7,9.97046417036507e-08,8.181727108080956e-17,7.104974276037921e-17,1.8630496767288645,0.6666666666666666,2,2,8.22380791121092e-05,0.00020361069714153266,0.0001761319949290279,0.6666666666666666,1.1748297016015602e-05,2.908724244879038e-05,2.51617135612897e-05,0.6666666666666666,1.0,0.9285714285714286,0.9285714285714286
PWY3O-94,tested,24,[],superpathway of TCA cycle and glyoxylate cycle,9.76729954511521e-14,0.003130520405299201,202,7.672091964756398e-08,1.1963892468944484e-13,6.14202766880019e-14,0.8163981388556337,0.6666666666666666,2,2,0.0028850713868578794,0.0023758216794620784,0.0008147976270071593,0.6666666666666666,1.4282531618108315e-05,1.1820008355532727e-05,4.05371953734905e-06,0.6666666666666666,1.0,0.9285714285714286,0.9285714285714286
PWY3O-6499,tested,4,[],phosphatidate biosynthesis II (the glycerol-3-phosphate pathway),1.6720465318908963e-15,5.3590818654804245e-05,27,7.351278279122668e-08,1.4469039833706212e-15,1.2346886134633248e-15,1.1556029640583312,0.6666666666666666,2,2,0.0009217280405015441,0.0002362532280673278,1.644764583811801e-05,0.3333333333333333,3.413807557413126e-05,8.750119558049176e-06,6.091720680784453e-07,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY-821-1,tested,16,[],superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),5.529466655059857e-15,0.00017722511851029978,53,6.309188982210743e-08,5.4864365343063916e-15,9.071883801353535e-16,1.0078429998204483,0.6666666666666666,2,2,0.0018565386953261606,0.002898547120137124,0.0019546771885929955,0.6666666666666666,3.502903198728605e-05,5.4689568304474034e-05,3.688070167156595e-05,0.6666666666666666,1.0,0.9285714285714286,0.9285714285714286
PWY3O-188,tested,20,[],"aerobic respiration, electron transport chain",2.597576457586976e-14,0.0008325500889207063,115,6.295274774447685e-08,2.3855812209547592e-14,6.279577010291637e-15,1.0888652353439352,0.6666666666666666,2,2,0.0019724877928176438,0.0014150428258287813,0.00038417581315446027,0.3333333333333333,1.7152067763631686e-05,1.2250327005824138e-05,3.1276100795027134e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-45,tested,5,[],folate biosynthesis II,1.5357944001823456e-15,4.922379707827799e-05,28,6.278545545698723e-08,1.2876303696584255e-15,5.665319516612896e-16,1.1927292461964465,0.6666666666666666,2,2,0.0006094942643892434,0.0009091902161333205,2.3582450137421985e-05,1.0,2.1767652299615835e-05,3.247107914761859e-05,8.422303620507881e-07,1.0,1.0,1.0,1.0
PWY-6074-1,tested,5,[],zymosterol biosynthesis,2.3643262420444807e-16,7.5779098524794135e-06,11,6.262735415272243e-08,2.52874202072589e-16,7.571542150466975e-17,0.9349811972380588,0.6666666666666666,2,2,0.00020453370392160814,0.0001299483192428534,3.6903748475483465e-06,0.3333333333333333,1.8593973083782558e-05,1.1813483567532129e-05,3.3548862250439544e-07,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-351,tested,8,[],superpathway of methionine salvage pathway,6.710662570335452e-15,0.0002150836678293449,59,6.178789653241739e-08,6.6489248799089275e-15,1.9509633641143047e-15,1.0092853644072708,0.6666666666666666,2,2,0.0019429193671775542,0.0009248273987915326,5.362463908857568e-05,0.3333333333333333,3.293083673182295e-05,1.5675040657483604e-05,9.088921879419604e-07,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-4107,tested,5,[],NAD salvage pathway V (PNC V cycle),5.311519677896287e-16,1.7023969274207852e-05,17,5.890646807684378e-08,3.70227645681912e-16,2.0657219818467183e-16,1.4346631700377606,0.6666666666666666,2,2,0.0007070031026718427,0.0005216130780380835,0.00048235273040168924,0.6666666666666666,4.158841780422604e-05,3.068312223753432e-05,2.837369002362878e-05,0.6666666666666666,1.0,0.9285714285714286,0.9285714285714286
PWY3O-285,tested,23,[],superpathway of purine biosynthesis and salvage pathways,2.4783277711407266e-14,0.0007943296530161058,126,5.003336186798348e-08,2.5076471389835764e-14,4.935210362122869e-15,0.988308016950609,0.6666666666666666,2,2,0.005089567856111449,0.0017601223524898245,9.480748332097245e-05,0.3333333333333333,4.0393395683424195e-05,1.4022092158464283e-05,6.995732051134695e-07,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
