,pwy1,pwy2,vc,vc_mean
272,PWY3O-94,PWY-6482-1,8.39272491962121e-06,1.2220042107776952e-09
273,PWY3O-94,PWY3O-954,2.3922014567184126e-06,9.109678053002333e-10
274,PWY3O-94,PWY-5653,2.0525081836455827e-06,5.977018589532856e-10
275,PWY3O-94,PWY-7219,3.692036988401217e-06,1.142338177104337e-09
276,PWY3O-94,PWY-7221,1.5497301914007288e-05,1.8266503906184922e-09
277,PWY3O-94,PWY3O-285,3.37820872422132e-05,1.3272861559882602e-09
278,PWY3O-94,PWY0-662,4.383456467128702e-06,1.0333466447733856e-09
279,PWY3O-94,PWY-5084,7.043638876951637e-06,9.685972053013804e-10
280,PWY3O-94,PWY-7176,5.216674675244496e-06,9.223257912384186e-10
281,PWY3O-94,PWY-6125,1.9661154307336078e-05,1.5698781784841966e-09
282,PWY3O-94,PWY3O-4108,3.0300137769194742e-05,8.152210979658508e-10
283,PWY3O-94,PWY3O-981,7.721000432818484e-06,9.100660576165116e-10
284,PWY3O-94,PWY3O-31704,1.042383659283118e-05,1.0320630289931863e-09
285,PWY3O-94,PWY3O-2220,1.7028972363040223e-06,9.366871486820806e-10
286,PWY3O-94,PWY-2201,2.3562273238792302e-05,8.514227519979873e-10
287,PWY3O-94,PWY3O-4120,3.288863568603738e-06,4.933788731778784e-10
288,PWY3O-94,PWY-6614,1.5171372955136223e-06,6.258817225716263e-10
289,PWY3O-94,PWY3O-1,1.9572254546416367e-06,9.689234923968497e-10
290,PWY3O-94,PWY3O-214,3.3341687828043665e-05,8.171181214597507e-10
291,PWY3O-94,PWY3O-50,4.40273744776841e-06,1.3622331212154733e-09
292,PWY3O-94,PWY3O-20,9.839853178315643e-06,8.256295669001211e-10
293,PWY3O-94,PWY3O-4115,3.4271588123306875e-05,8.276162309419676e-10
294,PWY3O-94,PWY3O-440,3.913398098946602e-06,1.3838041368269455e-09
295,PWY3O-94,PWY3O-259,1.7389478458507449e-06,6.149037644451007e-10
296,PWY3O-94,PWY3O-697,2.0844026628560202e-05,9.296238796075373e-10
297,PWY3O-94,PWY-5760-1,2.088558793192305e-06,5.4417894559466e-10
298,PWY3O-94,PWY-5041,2.617880229871954e-06,8.639868745451993e-10
299,PWY3O-94,PWY3O-4300,9.359834648805068e-06,1.2193635550814316e-09
300,PWY3O-94,PWY3O-1565,8.570354493221653e-06,9.4283327758214e-10
301,PWY3O-94,PWY3O-15,3.291775764705203e-06,1.810657736361498e-09
302,PWY3O-64,PWY3O-862,6.9955397245615226e-06,2.8764554788493102e-09
303,PWY3O-64,PWY3O-48,3.493260261326027e-07,1.3132557373406118e-09
304,PWY3O-64,PWY-781,4.919851184807381e-07,9.247840572946204e-10
305,PWY3O-64,PWY3O-6499,1.3250174626778255e-06,1.2914400221031439e-09
306,PWY3O-64,PWY3O-6407,1.0594883386999324e-06,1.1617196696271187e-09
307,PWY3O-64,PWY3O-45,7.674165440132525e-07,7.212561503883952e-10
308,PWY3O-64,PWY3O-6635,1.393647502564285e-06,1.2224978092669166e-09
309,PWY3O-64,PWY3O-188,9.535578502808162e-06,2.1820545773016385e-09
310,PWY3O-64,PWY-5651,2.1054220836687244e-06,1.3191867692159926e-09
311,PWY3O-64,PWY3O-351,3.606491126114629e-06,1.6086044273481842e-09
312,PWY3O-64,PWY3O-1743,5.726553870495374e-07,8.864634474451044e-10
313,PWY3O-64,PWY3O-7,5.090371098712271e-06,1.8605157524533155e-09
314,PWY3O-64,PWY-5686-1,4.2585445114798655e-06,2.0011957290788842e-09
315,PWY3O-64,PWY3O-261,1.5959222856446375e-06,1.105209339089084e-09
316,PWY3O-64,PWY3O-3827,4.974395814198703e-07,8.727010200348602e-10
317,PWY3O-64,PWY3O-355,1.1804817793418217e-06,5.356087928048193e-10
318,PWY3O-64,PWY3O-5962,7.064345413825967e-06,1.8590382667963073e-09
319,PWY3O-64,PWY3O-4,2.388391195481901e-06,1.309424997522972e-09
320,PWY3O-64,PWY-5971-1,1.1435287609350946e-06,5.373725380334091e-10
321,PWY3O-64,PWY3O-4158,3.026686103525786e-06,1.1062449208793076e-09
322,PWY3O-64,PWY3O-450,5.180452284949829e-07,1.7040961463650753e-09
323,PWY3O-64,PWY3O-123,1.7823263872721544e-07,6.70047514012088e-10
324,PWY3O-64,PWY3O-4107,6.021244388366052e-07,9.320811746696674e-10
325,PWY3O-64,PWY3O-2,4.399582817517732e-06,1.5860067835319869e-09
326,PWY3O-64,PWY3O-4153,1.7450157581341273e-06,1.3506313917446806e-09
327,PWY3O-64,PWY-6074-1,7.699823280493246e-07,1.8420629857639343e-09
328,PWY3O-64,PWY-6123-1,2.175027425549638e-06,1.4676298418013754e-09
329,PWY3O-64,PWY3O-10,6.795237535577678e-06,1.9869115601104324e-09
330,PWY3O-64,PWY3O-13,8.894137380480705e-06,1.7210018151084954e-09
331,PWY3O-64,PWY3O-8514,1.0805196368855684e-06,5.265690238233764e-10
332,PWY3O-64,PWY3O-6336,6.858249238713899e-06,1.9617417730874997e-09
333,PWY3O-64,PWY-5694,2.5786134992181183e-06,2.339939654462902e-09
334,PWY3O-64,PWY-6126-1,2.1365417509397956e-06,1.0812458253743905e-09
335,PWY3O-64,PWY0-162,5.403084002916103e-06,1.6926954896353704e-09
336,PWY3O-64,PWY3O-4109,9.694427438587484e-06,1.226521690104692e-09
337,PWY3O-64,PWY3O-4112,8.581211090788315e-06,1.1640275489403574e-09
338,PWY3O-64,PWY-7220-1,6.922671838013008e-07,5.060432630126468e-10
339,PWY3O-64,PWY3O-4105,9.206806304469338e-06,1.2236584668353717e-09
340,PWY3O-64,PWY3O-69,1.601639985103289e-06,1.317138145644152e-09
341,PWY3O-64,PWY-7222-1,6.922671838013008e-07,5.060432630126468e-10
342,PWY3O-64,PWY-821-1,2.489551391578106e-06,1.2361228359374905e-09
