,MKT1,MIP1,HAL9,LMO1,VPS70,BUL2,VPS36,RSF1,FLO5
SUB2,1.8218511453690952e-10,5.633492924488015e-09,1.1293599139932656e-09,4.1052224783601263e-10,2.416400148617385e-09,2.5714660078902645e-09,1.8431803973525353e-10,6.424465716395635e-10,5.284849016387874e-10
RPS16B,4.786480015689377e-10,3.955174882093969e-09,8.984420911176093e-10,4.0006908739322113e-10,1.9048611150081565e-09,4.0474832928347506e-09,6.775975507831635e-10,1.2183374356721742e-09,1.1241095700936502e-09
RPL13A,3.990387505409074e-10,4.142742493944116e-09,8.751368009969868e-10,2.7221529836551687e-10,2.078526123330028e-09,3.800863837501869e-09,5.951483729230449e-10,1.3099048606122443e-09,1.0435367444619645e-09
RPP1A,5.461435129371149e-10,3.969382280480977e-09,1.2007364484047673e-09,3.3690448906225785e-10,1.9858341858880676e-09,4.00447278029747e-09,8.340822573031479e-10,1.484005900323192e-09,5.455343336144816e-10
THI3,1.0626620165804635e-09,5.695911751182678e-09,9.449478262406725e-10,2.792688225599185e-10,2.068163115447059e-09,4.079337150172897e-09,1.2834727367340545e-09,1.334235143972822e-09,9.128648366102526e-10
MRK1,4.919054099082088e-10,6.281546227189692e-09,3.8739403073392216e-10,2.2934420608783926e-10,2.1153090393747235e-09,6.281361872047474e-09,1.3158770733871826e-09,1.4599177661457752e-09,5.61485705113833e-10
VAM6,5.590973722108007e-10,7.822748078931988e-09,8.501912145931457e-11,2.235111699146622e-10,4.887951841529934e-09,8.333953845845847e-09,3.528870788754114e-09,2.9821770260271425e-10,4.066653088479145e-10
RXT3,4.31389012827814e-10,7.000505830324928e-09,9.903213521573759e-11,2.5324727182417506e-10,6.259038538151942e-09,8.206089527208334e-09,3.268094228706059e-09,2.607219011555087e-10,4.1327341209420516e-10
BRE1,6.502878912939494e-10,7.3657085864827316e-09,1.1658640436015917e-10,1.4467662047298275e-10,6.875586368499594e-09,6.468558224614297e-09,2.631487117979346e-09,2.837544824189352e-10,7.557255578166943e-10
AHK1,6.797909675125477e-10,7.838474084286701e-09,1.4277430122354045e-10,1.380709033060757e-10,6.8202109451511535e-09,6.895695420727131e-09,2.3397576291805595e-09,3.4535758400527316e-10,6.550322124683695e-10
YET3,7.711472528328747e-10,7.717702411165123e-09,1.2867525747471752e-10,1.1210728863981035e-10,6.001263253559691e-09,7.049702528463143e-09,2.48903075541948e-09,5.574049791279892e-10,5.325196955964966e-10
COX9,2.8687583216461046e-09,4.2512068886384486e-09,1.3237489493965138e-10,6.262288319356884e-10,9.259194834352356e-09,3.255798602570334e-09,4.465518509289971e-09,1.5567619677684328e-09,6.419765140009914e-10
PEX19,1.807695685239147e-09,2.1757735281818608e-09,4.312572396695963e-10,5.041122937748575e-10,9.15175716198182e-09,4.429504099336528e-09,5.0588287779533686e-09,1.8967632564707078e-09,3.254816863463943e-10
SYO1,8.770011576480946e-10,1.5478553015435389e-09,9.03853370227608e-10,1.2376265014093136e-09,1.0288763697348297e-08,4.25414034389082e-09,5.281848229931054e-09,1.1105628695131104e-09,1.547925752431054e-10
TSR1,5.834555310384631e-10,1.392745294892434e-09,1.7529807868194309e-09,6.260545597673742e-10,9.715269694243182e-09,2.4291612546541974e-09,4.4004928618317645e-09,1.0128625956315985e-09,4.557403669105676e-10
USO1,3.9918657383986367e-10,6.271684674720041e-11,2.6834088895472648e-09,1.2035817440172814e-09,5.538675634177945e-09,2.4721898660454695e-09,2.0684483137947183e-09,5.055654823994616e-11,3.690070109760193e-11
MBP1,1.8073585852462288e-10,7.178955379777307e-11,1.2451124848105457e-09,2.1738142329724417e-09,6.798966001305934e-09,4.08387757448147e-10,1.460813791978309e-09,1.8303524369063268e-10,5.9848725672871596e-12
PSA1,1.5246291669491598e-09,3.8709596873460585e-10,1.1786735440035367e-09,2.67770759659941e-09,8.058220456488192e-10,9.979495994840082e-10,1.7286395375120456e-09,1.5278148480462166e-09,1.1759982797094649e-10
MCH1,1.585204034021117e-09,7.521032810038499e-10,7.012286036598173e-10,3.434960996394757e-09,5.708060846794731e-10,1.407719672616549e-09,1.8252926141760754e-09,1.1747656377278878e-09,6.170330366445318e-10
PBP4,4.341985771153647e-10,1.0881149793279765e-09,1.8572403937817248e-09,2.1172481972524556e-09,1.232713510934465e-09,2.3141066513019767e-09,1.0220763616354465e-09,1.734635808027055e-09,1.1840156721383666e-10
SLC1,1.6238109310079647e-10,1.1532652786031252e-09,1.5596214521435609e-09,2.3487000184225108e-09,1.1776028540242955e-09,2.4088081506923708e-09,9.498374159190199e-10,1.4753472424319455e-09,2.364954097231665e-10
LHP1,1.736998019988835e-10,2.134878854494576e-09,1.659477263102823e-09,2.0223993500956806e-09,2.197426579974989e-09,3.896383973375138e-09,5.126560486877864e-10,1.149883734475522e-09,5.483580928650321e-10
STP4,1.7896115306751927e-10,1.882854349460561e-09,9.69168939919508e-10,1.7026379061204897e-09,4.68783570373766e-09,3.831420975393291e-09,9.453970317690185e-10,9.714336000759934e-10,5.165556093870965e-10
SIT4,5.004393885236632e-11,9.439189654262694e-10,1.002639109250652e-09,1.6510039730766374e-09,4.007053280964194e-09,2.0258562587019317e-09,6.027532043360456e-10,1.181122197392492e-09,1.4270840324142378e-10
NPC2,2.6833422346905048e-11,8.648108339929775e-10,1.187955647092871e-09,1.2578670531228819e-09,2.957299011200439e-09,1.3022219711582015e-09,6.110579200488577e-10,1.047306658989813e-09,8.688835609317448e-11
MRP10,2.7549084328364526e-11,7.535697729678745e-10,1.3128993523644045e-09,1.0454909056028687e-09,2.934634615241901e-09,1.3168365600939894e-09,4.719859618819135e-10,1.1693012508194792e-09,7.064677327012546e-11
FAD1,8.57432821203098e-11,9.803289713501542e-10,2.108215085680392e-09,1.0377343801399118e-09,3.784113694892988e-09,7.49217202262414e-10,1.5724216742031286e-10,1.2213400514565216e-09,4.632566909539082e-13
MTF2,2.1764457397682113e-10,7.96718193318673e-10,2.2076106347549387e-09,2.2147021040189443e-10,3.151351954351584e-09,4.793817003589601e-10,5.727525863793084e-10,1.993624204835706e-09,2.1638090467825936e-11
NAT1,2.3936727498529e-10,4.308078068141449e-10,4.432974931648812e-09,5.420840075924561e-10,2.4431031459504266e-09,2.483898033545394e-09,3.0251615833231286e-09,3.126963925344971e-09,6.352977783862803e-12
PRM7,2.1510236104687333e-10,5.524072727352156e-10,3.4612160797801367e-09,7.14440596028326e-10,2.5152286109096795e-09,1.346507290301871e-09,2.3804503572285834e-09,2.6076484174708272e-09,5.310399728854136e-11
BSC1,1.302897816570915e-10,5.404710684281672e-10,3.231627216865545e-09,8.140413568893697e-10,2.041017056417678e-09,1.0705489642167133e-09,2.3790545235137345e-09,2.81141719812736e-09,7.145414867870253e-11
PUS9,4.3715457597842107e-10,1.7708314657487876e-10,2.0545114801125513e-09,6.498198515126338e-10,1.9703531850160965e-09,1.020648107540401e-09,9.801114821080516e-10,2.0606238115813213e-09,3.057204530578946e-11
GPR1,5.133528501477847e-10,2.0283915024144203e-10,2.2898931882811793e-09,5.419982412946117e-10,1.930187633223e-09,7.731106942234451e-10,1.002898434173597e-09,2.418645390401826e-09,9.397172658469143e-11
SLM3,4.1879268987510074e-10,2.905890564762465e-10,2.1020489776268046e-09,3.0576577751951953e-10,1.7530486347158826e-09,5.616826744940619e-10,1.3715922390905257e-09,2.950385301999761e-09,1.0355349230947545e-10
DBP10,2.503155682570649e-10,3.356941502949194e-10,1.9383934657010724e-09,4.5957877327900874e-11,1.211197814832077e-09,1.7797548920421562e-09,7.363609240617428e-10,1.631044330659392e-09,1.0577799214149673e-10
PRP9,6.74612777570207e-10,3.8432845751809645e-10,2.376549570705934e-09,4.760153252996922e-11,1.1678793684401212e-09,1.5658062101965173e-09,1.1605152028011408e-09,2.7932593233894336e-09,4.3198906760613775e-11
